No peak1;Methanethiol2;Acetaldehyde 3;Dimethyl sulfide4;Sulphur dioxide + unknown ?5;Ethyl acetate 6;3-Methylbutanal 7;Ethanol 8;Ethyl propanoate9;Ethyl 2-methylpropanoate10;2,3-Butanedione11;No peak12;Methyl 2-methylpropenoate 13;2-Methylpropyl acetate14;No peak15;Ethyl butanoate16;No peak17;Ethyl 2-methylbutanoate18;2,3-Pentanedione19;Ethyl 3-methylbutanoate20;No peak21;No peak22;3-Methylbutyl acetate 23;Unknown24;Unknown25;3-Methyl-1-butanol26;Ethyl hexanoate27;Unknown28;No peak29;4-Methyl-1-pentanol 30;Unknown31;No peak32;Ethyl octanoate33;Ethyl octanoate + 3-Isopropyl-2-methoxypyrazine 34;Acetic acid35;Methional36;No peak37;No peak38;Benzaldehyde39;Butyric acid40;Ethyl decanoate41;Butyrolactone + Benzeneacetaldehyde42;Benzeneacetaldehyde 43;Isovaleric acid44;Unknown45;Unknown + Methionol46;No peak47;No peak48;Phenethyl acetate 49;Ethyl dodecanoate50;Hexanoic acid51;Unknown52;Benzenemethanol53;Benzeneethanol54;Unknown55;Phenol56;4-Ethyl guaiacol57;Unknown58;p (or m)-Cresol59;Unknown60;Unknown61;No peak62;Unknown63;Unknown64;No peak65;4 (ou 3) Ethyl phenol 66;Unknown67;Unknown/No peak68;Decanoic acid69;Unknown70;Produit;Produit numero
1;0;0;1;0;0;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;0;0;0;0;1;1;1;1;1;0;1;0;0;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;1;0;0;1;1;P;P1
0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;P;P1
0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;P;P1
0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;P;P1
0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;P;P1
0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;0;1;1;0;1;0;0;1;1;1;1;1;1;0;1;0;1;1;0;0;0;1;0;1;0;1;1;1;0;1;0;0;0;1;1;1;1;0;1;0;1;1;0;1;0;0;0;1;0;0;0;1;P;P1
0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;P;P1
0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;P;P1
0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;1;1;1;0;0;0;1;0;1;1;0;0;1;0;P;P2
0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;P;P2
